[2025-02-10 10:57:32,548] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 10:57:32,549] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 10:57:32,549] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 10:57:32,549] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 10:59:20,360] INFO in main: 应用关闭
[2025-02-10 10:59:21,358] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 10:59:21,358] INFO in main: 应用启动成功
[2025-02-10 10:59:28,142] INFO in main: 应用关闭
[2025-02-10 10:59:29,111] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 10:59:29,111] INFO in main: 应用启动成功
[2025-02-10 10:59:36,967] INFO in main: 应用关闭
[2025-02-10 10:59:37,938] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 10:59:37,938] INFO in main: 应用启动成功
[2025-02-10 10:59:56,795] INFO in main: 应用关闭
[2025-02-10 10:59:57,729] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 10:59:57,730] INFO in main: 应用启动成功
[2025-02-10 11:00:10,665] INFO in main: 应用关闭
[2025-02-10 11:00:11,602] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:00:11,602] INFO in main: 应用启动成功
[2025-02-10 11:00:24,619] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:00:24,620] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:00:24,620] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:00:24,620] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:00:24,621] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:00:30,657] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:00:30,755] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.02s
[2025-02-10 11:00:32,563] ERROR in department_service: 获取所有部门失败: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Department(huaxinAdmin_departments)]'. Original exception was: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:00:32,564] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:00:32,564] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:00:32,565] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:00:32,566] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.01s
[2025-02-10 11:00:48,426] INFO in main: 应用关闭
[2025-02-10 11:00:49,417] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:00:49,418] INFO in main: 应用启动成功
[2025-02-10 11:00:50,719] INFO in main: 应用关闭
[2025-02-10 11:00:51,669] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:00:51,670] INFO in main: 应用启动成功
[2025-02-10 11:00:59,417] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:00:59,494] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.02s
[2025-02-10 11:01:01,498] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:01:01,498] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:01:01,498] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:01:01,499] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:01:01,499] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:01:21,472] INFO in main: 应用关闭
[2025-02-10 11:01:22,478] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:01:22,478] INFO in main: 应用启动成功
[2025-02-10 11:01:23,349] INFO in main: 应用关闭
[2025-02-10 11:01:24,293] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:01:24,293] INFO in main: 应用启动成功
[2025-02-10 11:01:30,433] INFO in main: 应用关闭
[2025-02-10 11:01:31,407] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:01:31,408] INFO in main: 应用启动成功
[2025-02-10 11:05:36,181] INFO in main: 应用关闭
[2025-02-10 11:05:37,144] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:05:37,144] INFO in main: 应用启动成功
[2025-02-10 11:05:51,400] INFO in main: 应用关闭
[2025-02-10 11:05:54,465] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:05:54,465] INFO in main: 应用启动成功
[2025-02-10 11:05:57,266] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:05:57,356] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:06:00,687] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:06:00,687] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:06:00,688] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:06:00,688] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:06:00,688] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.03s
[2025-02-10 11:07:04,059] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:07:04,059] INFO in main: 应用启动成功
[2025-02-10 11:07:09,005] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:07:09,077] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:07:11,916] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:07:11,916] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:07:11,916] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:07:11,917] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:07:11,917] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.05s
[2025-02-10 11:07:16,976] INFO in main: 应用关闭
[2025-02-10 11:08:21,445] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:08:21,445] INFO in main: 应用启动成功
[2025-02-10 11:08:23,136] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:08:23,197] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:08:25,655] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:08:25,656] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:08:25,656] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:08:25,656] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:08:25,657] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:08:37,225] INFO in main: 应用关闭
